"laser speed";"laser power";"hatch spacing";"vm_avg";"disp_sq";"cauchy_sq"
0.474058655;0.578488616;0.907240033;0.7159929;0.505592289;1.41453941
0.612813813;0.733053836;0.958906755;0.758216469;0.421503742;1.479452776
0.866332174;0.877689096;0.635306185;0.72586361;0.56292075;1.536615014
0.959540193;0.56763416;0.784620793;0.945494328;0.260764319;1.553997568
0.375146098;0.2541989;0.527757049;0.683049805;0.493561587;1.344682031
0.372388655;0.59953932;0.906924243;0.650445042;0.624689799;1.315506435
0.864773636;0.499523766;0.768402382;0.838219829;0.270624489;1.351252433
0.677009361;0.357974904;0.535145166;0.761254042;0.375016091;1.354698416
0.696473851;0.366610713;0.606455014;0.686392684;0.356180944;0.989053317
0.213863284;0.194389486;0.744386482;0.640612325;0.498626683;1.265228876
0.282054941;0.217160026;0.548658024;0.659752301;0.534979113;1.384588463
0.714785011;0.401165098;0.678009846;0.745845168;0.329144293;1.195008688
0.660175556;0.343547679;0.503606491;0.750125412;0.397402707;1.36980512
0.628179722;0.438069563;0.953072981;0.852381862;0.255080175;1.25587773
0.978418553;0.566318301;0.729697959;0.919712034;0.280642055;1.597246247
0.610786791;0.665629582;0.639473635;0.696026744;0.571773533;1.502912361
0.806184357;0.488508311;0.755843857;0.906565788;0.288285664;1.531354218
0.697489527;0.743647413;0.811339468;0.719883139;0.477007599;1.410068397
0.840919099;0.993724101;0.949854988;0.805840499;0.436741944;1.551950906
0.189971744;0.298411881;0.973338317;0.611135669;0.628019837;1.364696978
0.951799235;0.397416018;0.453902493;0.675308803;0.373604356;1.119129727
0.433388625;0.309314196;0.877601192;0.739377443;0.332087397;1.172898135
0.978057647;0.513744634;0.574047064;0.882755883;0.339802415;1.541079968
0.953141676;0.480494869;0.646140778;0.726610074;0.292011713;1.065697166
0.848931894;0.54121806;0.848793102;0.964170686;0.247596025;1.657341631
0.469271077;0.354286052;0.939767231;0.800122445;0.308378027;1.326538712
0.722243715;0.489662288;0.938051634;0.889709158;0.259177369;1.346066132
0.318817041;0.279507059;0.837840643;0.760376229;0.388001361;1.432031648
0.43176332;0.286927747;0.654262591;0.721784569;0.403057643;1.242829436
0.900242743;0.618216113;0.98793544;0.993119206;0.208394372;1.452430203
0.812854098;0.399760279;0.52373072;0.774900482;0.360453423;1.312120543
